Warehouse code	Item code	Item Description	Stock on Hand
ZBF12S	39121041SD00031	VlStb 130-280V 4kVA Al	0
ZBF12S	39121041SD00033	VlStb 110-280V 4kVA	1
ZBF12S	39121041SD00038	VlStb 110-280V 4kVA Al	1
ZBF12S	39121041SD00040	VlStb 85-280V 4kVA C	2
ZBF12S	39121041SD00041	VlStb 130-280V 2kVA G500 VPC	23
ZBF12S	39121041SD00081	VlStb 175-265V 4kVA AC Stab	0
ZBF12S	39121041SD00082	VlStb 130-280V 1kVA CF Stab	7
ZBF12S	39121041SD00083	VlStb 130-280V 5kVA AC Stab	0
ZBF12S	39121041SD00120	VlStb 90-280V 0.5kVA G500X10	13
ZBF12S	39121041SD00121	VlStb 120-280V 0.5kVA G500X9A	206
ZBF12S	39121041SD00130	VlStb 110-270V 0.5kVA GA500	16
ZBF12S	39121041SD00148	VlStb 130-280V 4kVA AL-TD (CP)	0
ZBF12S	39121041SD00155	VlStb 130-280V 4kVA AL-TD (SI)	0
ZBF12S	39121041SD00167	VlStb 85-280V 4kVA AL-TD (AT)	1
ZBF12S	39121041SD00168	VlStb 110-280V 4kVA AL-TD (AT)	94
ZBF12S	39121041SD00169	VlStb 130-280V 5kVA AL-TD (AT)	2
ZBF12S	39121041SD00171	VlStb 150-275V 4kVA AL-TD (AT)	0
ZBF12S	39121041SD00172	VlStb 130-280V 4kVA AL-TD	0
ZBF12S	39121041SD00198	VlStb 130-280V 4kVA	2
ZBF12S	39121041SD00206	VlStb 130-280V 4kVA	0
ZBF12S	39121402SD00216	Elect plug Mod 3pin 230V 16A	0
ZBF12S	39121523SD00009	Tmr 0-15min 230V 3A WS GDS820	0
ZBF12S	39121523SD00010	Tmr 0-5min 230V 3A Spin 7501	162
ZBF12S	39121523SD00012	Tmr 0-35min 230V 3A Wash 7002	7
ZBF12S	39121523SD00013	Tmr 0-5min 230V 3A Spin 6502	63
ZBF12S	39121523SD00017	Tmr 0-35min 230V 3A Wash IMP	0
ZBF12S	39121523SD00027	Tmr 0-35min 230V 3A WS GWS8502	5
ZBF12S	39121523SD00084	Tmr 0-12Hrs 230V 1A Frost Care	15
ZBF12S	39121523SD00254	Tmr 0-35min 250V 3A Wash SA0	0
ZBF12S	39121523SD00353	Tmr 0-8Hrs 230V 1A New Defrost	238
ZBF12S	39121523SD00354	Tmr 0-12Hrs 230V 1A DFRST Ser	314
ZBF12S	39121523SD00455	Tmr 0-35min 250V 3A Wash Glue	15
ZBF12S	39122216SD00051	LIGHT SWITCH ROCKER TYPE	687
ZBF12S	39122216SD00268	Push btn sw NImtd 240V White	85
