Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
RMS97744000,TBL TOP FRONT PC V SWRED-DC   ,52141501PA00850,T/T FRNT PC JRY DC OPT S W RED
RMS97744001,TBL TOP FRNT PC MELON RED-DC  ,52141501PA00857,T/T FRNT PC JRY DC OPT MLN RED
RMS97744002,TBL TOP FRONT PC DARK GREY-DC ,52141501PA00908,T/T FRNT PC  DC OPT ORCHID STL
RMS97744003,TBL TOP FRONT PC FAWN GREY-DC ,52141501PA00897,T/T FRNT PC  DC BRUSH STL SERV
RMS97744004,TBL TOP FRONT PC MUSH GREY-DC ,52141501PA00967,T/T FRNT PC JRY DC OPTMD M SIL
RMS97744005,TBL TOP FRONT PC ICY BLUE-DC  ,52141501PA00914,T/T FRNT PC JRY DC OPT ICY BLU
RMS97744006,TBL TOP FRONT PC MET BLUE-DC  ,52141501PA00927,T/T FRNT PC JRY DC OPTMD MBLUE
RMS97744007,TBL TOP FRONT PC KIWI GREEN-DC,52141501PA00851,T/T FRNT PC JRY DC OPT KIWI GR
RMS97744008,TBL TOP FRONT PC SAM GREY-DC  ,52141501PA00926,T/T FRNT PC JRY DC OPTMD SF
RMS97744023,ALUMINIUM HANDLE              ,52141501PA01538,ALUMINIUM HANDLE                                  
RMS97744025,ALUMINIUM HNDL-FRZR DOOR-230FF,31162801DG00008,ALUMINIUM HNDL-FRZR DOOR-230FF
RMS97744042,3M MAKE DUCT TAPE 3939 2X60YA ,31201503SD00021,"3M MAKE DUCT TAPE 3939 2""X60Y"
RMS97744044,SINGER LOGO GEOMETIC CROMAFLEX,55121606SD00561,SINGER LOGO GEOMETIC CROMAFLEX
RMS97744122,PLAIN VOID STKR FOR COMP NO   ,55121606SD00076,PLAIN VOID STKR FOR COMP NO
RMS97744238,NUT PLATE FR TABLE TP  L SHAPE,31281896DG00096,NUT PLATE FR TABLE TP  L SHAPE
RMS97744246,PAPER TOP FR EON(FR PLST TT)  ,14121800SD00018,PAPER TOP FR EON(FR PLST TT)
RMS97744281,REAR SUPPORT FRAM LH (METAL)  ,31360095DG00005,REAR SPRT FRAM LH FR EON METAL
RMS97744282,REAR SUPPORT FRAM RH  (METAL) ,31360095DG00004,REAR SPRT FRAM RH FR EON METAL
RMS97744315,PROFILE SHT FR PLASTIC TBLE TP,13111310DG00026,PROFILE SHT FR PLASTIC TBLE TP
RMS97744338,SOWM STKR GFE 25 SMTE GARDEN S,55121606SD00876,SOWM STKR GFE25 SMTE GARDEN SL
RMS97744339,SOWM STKR GFE 30 CMTE SILVER S,55121606SD00877,SOWM STKR GFE30 CMTE SILVER SK
RMS97744472,COLOR STRIP FOR CARTON STICKER,55121606SD00339,COLOR STRIP FOR CARTON STICKER
RMS97744544,CSTKR GFE27SVT4N SHELL WINERED,55121606SD01454,CSTKR GFE27SVT4N SHELL WINERED
RMS97744605,WIRE HARNESS EDGE PRO 190L    ,26121700DG00484,WIRE HARNESS EDGE PRO 190L
RMS97744606,WIRE HARNESS EDGE PRO 210L    ,26121700DG00173,W/H 210L EPRO -MOLEX CONNCTR
RMS97744664,HANDLE ASLY CHROME 300LCASIO G,52141501PA01298,HANDLE ASLY CHROME 300LCASIO G                    
RMS97744855,CABINATE BOTTOM PC FOR 190-210,31281896DG00014,CABINATE BOTTOM PC FOR 190-210
RMS97744856,LOCK LEVER FOR 190-210        ,31281896DG00015,LOCK LEVER FOR 190-210
RMS97744857,TP BTM HORIZ STRIP FOR 190-210,31281896DG00013,TP BTM HORIZ STRIP FOR 190-210
RMS97744858,TOP HINGE BRACKET FOR 190-210 ,31162500DG00097,TOP HINGE BRACKET FOR 190-210
RMS97744859,CORNER SUPP BRKT FOR 190-210  ,31162500DG00096,CORNER SUPP BRKT FOR 190-210
RMS97744860,NUT PLATE FR TOP HINGE 190-210,31281896DG00010,NUT PLATE FR TOP HINGE 190-210
RMS97744862,NUTPLATE REAR SUP FRM 190-210 ,31281896DG00212,NUTPLATE REAR SUP FRM 190-210
RMS97744863,NUTPLATE CABINET BTM PC190-210,31141596DG02437,NUTPLATE CABINET BTM PC190-210
RMS97744864,CABINATE BACK PIECE FOR 190   ,31281896DG00009,CABINATE BACK PIECE FOR 190
RMS97744865,CABINATE BACK PIECE FOR  210  ,31281896DG00097,CABINATE BACK PIECE FOR  210
