Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
ABL97743484,Blower (1.5TYTSU)             ,32101502SD00084,PCBA Main Control Board Galanz
ABL97749228,Blower GSC24FI5WNX            ,40101701PA01053,Remote Control GSC24FD2WJH 2T
ABL97749359,Blower GSC12FR2A/CWOT         ,40101701PA02116,Remote Control GSC12FQ2WNC 1T
ABL97750372,Blower GWC12GQ3WOC            ,40101701PA01065,Remote Control GSC12FG7OMG 1T
ABL97750415,Blower GSC18FQ5CWOC           ,40101701PA01059,Remote Control GSC18FK3WLH
ABL97750470,Blower GSC12FQ5AWOC           ,40101701PA01063,Remote Control GSC12FV5HRLH 1T
ABL97750484,Blower GSC12FN3WOU            ,32101502SD00139,PCBA Display Board Gree
ABL97750539,Blower GSC12FW3WOU            ,40101701PA01057,Remote Control GSC10FV5KRJH
ABL97750623,Blower GSC18FN3WOU            ,40101701PA01063,Remote Control GSC12FV5HRLH 1T
ABL97750690,Blower GSC18FW3WOU            ,40101701PA01054,Remote Control GSC12FV5 1T SAC
ABL97750751,Blower GSC12FGW5WOG           ,32101502SD00135,PCBA Display Board Gree
ABL97750786,Blower GSC12FGAWOG            ,32101502SD00107,PCBA Main Pcb Gree 30135602
ABL97750812,Blower GSC18FGWWOG            ,40101701PA02122,Remote Control GWC18GF2WLL
ABL97750847,Blower GSC18FGAWOG            ,32101502SD00130,PCBA Main Pcb(digital) TCL
ABL97752886,Blower GSC24APZRWOU           ,40101701PA02724,Remote Control GSC18FJ2/3 WLL
ABL97753068,Blower GSC12CPZ3RWPC          ,32101502SD01850,PCBA DISPLAY BOARD GSC18FZ5WLL
ABL97753844,Blower GSC24TSZ3RWPT          ,40101701PA02775,Remote Control GSC18FJ2 1.5TR
ABL97753909,Blower GSC18TSZ5RWPT          ,40101701PA02738,Remote Control POWERCOOL 1T
ABL97754066,Blower GSC18DG3WOH            ,40101701PA01060,Remote Control GSC12FG7WLG 1T
ABL97754111,Blower 18AINVRWPU             ,40101701PA02736,Remote Control GSC12FG6 BLG
ABL97754818,Blower GWC18UGZ5WPR           ,40101701PA02735,Remote Control GSC18FG6 BLG
ABL97754865,Blower GSC12GIG5DGOG          ,40101701PA01066,Remote Control GSC18FG5WMG
ABL97754899,Blower GSC18GIG5DGOG          ,32101502SD00448,PCBA DISPLAY PCB GSC24FR2 RoHS
ABL97755003,Blower GWC12TGZ3RWPT          ,32101502SD00130,PCBA Main Pcb(digital) TCL
ABL97755192,BLOWER GSC12APZ3RWPU          ,32101502SD00904,PCBA Rprd MAIN PCB GSC18FR3WLT
ABL97756504,BlowerGSC18CPZ3RWPC           ,40101701PA01062,Remote Control GSC18FR3WLT
ABL97756508,Blower GSC18MIN3RWPM          ,32101502SD00129,PCBA Main Pcb(digital) TCL
ABL97756539,BlowerGSC12MINV3RWPM          ,32101502SD00424,PCBA DISPLAY PCB GSH18FYNWMT
ABL97756540,BlowerGSC12CPZ5RWPC           ,40101701PA04793,Remote Control GSH18FYNWMT
ABL97756718,BlowerGSC12F/SFZM5RWPM        ,32101502SD00471,PCBA DISPLAY PCB GSC24 FW2WNU
ABL97756767,BlowerGSC12F/S FZM3RWPM       ,32101502SD00181,PCBA Main Pcb Galanz
ABL97756784,Blower GSC 12 FFZH/ DG5 RWPH  ,32101502SD00719,PCBA Rprd MAIN PCB GSC12FC3
ABL97757311,Blower GSC 12 FFZH/DG3 RWPH   ,40101701PA01064,Remote Control GSC12FC3WMZ
ABL97757398,Blower GSC18F/SFZM3RWPM       ,32101502SD00179,PCBA Main Pcb Galanz
ABL97757466,Blower GCC18GPM               ,32101502SD00152,PCBA Main Control Board Galanz
ABL97757611,Blower GCC 36 GPM             ,32101502SD00160,PCBA Main Contrl Board Galanz
ABL97757846,BLOWER GWC18UGZ3WPR           ,32101502SD01996,PCBA Rprd
ABL97757968,BlowerGSC24FFXZ5CWQZ          ,40101701PA01068,Remote Control GSC18FR3/12FR5
ABL97758379,Blower GSC 18 SFZR 5 CWQR     ,40101701PA01051,Remote Control GWC10GG2WJM
ABLS10L3BLW,Blower GSC10FL3WJM            ,40101701PA02722,Remote Control GSC18FJ2/3
ABLS18L3BLW,Blower GSC18FL3WJM            ,32101502SD00177,PCBA Display Pcb TCL 210900181
ABLS24D2CFB,Blower GSC24FD2WJH            ,40101701PA02678,Capacitor GWC19G3 Compressor
ABLSCQ212CB,Blower GSC12FQ2WNC            ,40151608SD00117,Rot Cmpr 1T 3300W 230V R22
ABLSCQ218FB,Blower GSC18FQ2WNC            ,40151608SD00044,Rot Cmpr 2T 7032W 230V R22
ABLSCQ312FB,Blower GSC12FQ3WNC            ,40151608SD00119,Rot Cmpr 1T 3140W 230V R22
ABLSHK518CB,Blower GSC18FK5WNH            ,40151608SD00109,Rot Cmpr 1T 2600W 230V R22
ABLSHV512BL,Blower GSC12FV5/12FG6         ,40151608SD00122,Rot Cmpr 1.5T 2500W 230V R22
ABLSHV518AF,Blower GSC18FV5               ,40151608SD00039,Rot Cmpr 1T 3516W 230V R22
ABLSLG218BL,Blower GWC18GF2WLL            ,40151608SD00014,Rot Cmpr 1.5T 5271W 230V R22
ABLSME312BL,Blower GSC12FE3WJM            ,40151608SD00053,Rot Cmpr 1.5T 5274W 230V R22
ABLSME312CF,Blower GSC12FE3WMM            ,40151608SD00059,Rot Cmpr 1.5T 5550W R22 PH310
ABLSME318BL,Blower GSC18FE3WJM            ,40151608SD00058,Rot Cmpr 1T 3375W 230V R290
ABLSMO512BL,Blower GSC12FO5WKM            ,40151608SD00058,Rot Cmpr 1T 3375W 230V R290
